name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,php,3,12,483,0.248,1288,0,0% 4% 96% 8%,0.250
binarytrees,php,3,16,483,7.032,104312,0,1% 1% 1% 100%,7.041
binarytrees,php,3,20,483,168.012,1549916,0,38% 30% 1% 34%,168.147
binarytrees,hack,2,12,468,0.000,0,-11,%,0.000
binarytrees,hack,2,16,468,0.000,0,-11,%,0.000
binarytrees,hack,2,20,468,0.000,0,-11,%,0.000
binarytrees,scala,4,12,494,0.248,1740,0,14% 10% 95% 9%,0.216
binarytrees,scala,4,16,494,0.944,102064,0,49% 9% 9% 59%,0.783
binarytrees,scala,4,20,494,18.840,520808,0,46% 35% 36% 25%,13.526
binarytrees,yarv,4,12,402,0.400,712,0,5% 13% 0% 100%,0.404
binarytrees,yarv,4,16,402,7.308,20280,0,0% 1% 100% 1%,7.316
binarytrees,yarv,4,20,402,155.456,243484,0,0% 30% 70% 0%,155.616
binarytrees,java,6,12,583,0.172,0,0,7% 7% 93% 7%,0.145
binarytrees,java,6,16,583,0.552,62088,0,18% 13% 13% 87%,0.453
binarytrees,java,6,20,583,8.168,354364,0,41% 48% 37% 19%,5.745
binarytrees,scala,2,12,641,0.392,888,0,76% 19% 17% 27%,0.338
binarytrees,scala,2,16,641,1.736,102148,0,53% 59% 80% 39%,0.760
binarytrees,scala,2,20,641,36.288,686532,0,85% 87% 72% 73%,11.520
binarytrees,yarv,2,12,413,0.496,9096,0,2% 98% 0% 0%,0.510
binarytrees,yarv,2,16,413,10.048,30288,0,1% 1% 0% 100%,10.059
binarytrees,yarv,2,20,413,206.504,432132,0,18% 61% 1% 22%,206.693
binarytrees,perl,3,12,706,1.724,12980,0,29% 35% 94% 52%,1.090
binarytrees,perl,3,16,706,36.260,118856,0,89% 88% 95% 96%,9.883
binarytrees,perl,3,20,706,791.140,1708468,0,92% 80% 89% 73%,238.049
binarytrees,hipe,2,12,499,0.268,1732,0,21% 53% 26% 24%,0.329
binarytrees,hipe,2,16,499,2.116,101156,0,68% 77% 69% 79%,0.732
binarytrees,hipe,2,20,499,69.048,1013732,0,97% 90% 90% 90%,18.934
binarytrees,csharp,3,12,723,0.268,33048,0,5% 17% 77% 3%,1.092
binarytrees,csharp,3,16,723,2.736,74216,0,56% 45% 40% 42%,1.520
binarytrees,csharp,3,20,723,81.084,718784,0,41% 46% 43% 38%,47.641
binarytrees,typescript,1,12,475,0.224,996,0,0% 86% 10% 10%,0.290
binarytrees,typescript,1,16,475,2.268,64788,0,0% 1% 2% 100%,2.271
binarytrees,typescript,1,20,475,81.100,955168,0,1% 76% 24% 1%,80.809
binarytrees,sbcl,1,12,612,0.060,0,0,100% 0% 0% 0%,0.065
binarytrees,sbcl,1,16,612,1.348,77168,0,1% 1% 1% 100%,1.355
binarytrees,sbcl,1,20,612,32.712,325092,0,1% 16% 85% 0%,32.765
binarytrees,fpascal,1,12,769,0.068,0,0,0% 22% 78% 0%,0.091
binarytrees,fpascal,1,16,769,1.560,5108,0,4% 6% 9% 99%,1.566
binarytrees,fpascal,1,20,769,38.092,131376,0,1% 0% 100% 1%,38.123
binarytrees,erlang,1,12,441,0.344,716,0,94% 3% 6% 0%,0.336
binarytrees,erlang,1,16,441,4.312,128256,0,1% 4% 10% 87%,4.304
binarytrees,erlang,1,20,441,88.272,792632,0,76% 1% 1% 25%,88.352
binarytrees,python3,1,12,596,0.972,14692,0,40% 16% 42% 77%,1.901
binarytrees,python3,1,16,596,21.584,97428,0,87% 85% 92% 82%,7.062
binarytrees,python3,1,20,596,516.240,804624,0,94% 92% 95% 91%,152.062
binarytrees,ghc,1,12,521,0.088,0,0,50% 33% 17% 100%,0.053
binarytrees,ghc,1,16,521,2.716,24964,0,83% 47% 48% 64%,1.147
binarytrees,ghc,1,20,521,53.132,361312,0,36% 88% 49% 36%,25.619
binarytrees,java,5,12,926,0.396,1708,0,31% 31% 24% 84%,0.255
binarytrees,java,5,16,926,1.408,38436,0,63% 62% 93% 48%,0.548
binarytrees,java,5,20,926,20.896,524828,0,87% 91% 82% 80%,6.202
binarytrees,sbcl,3,12,684,0.000,0,-10,0% 100% 0% 0%,0.011
binarytrees,sbcl,3,16,684,0.000,0,-10,0% 100% 0% 0%,0.011
binarytrees,sbcl,3,20,684,0.000,0,-10,0% 100% 0% 0%,0.011
binarytrees,gcc,1,12,706,0.072,0,0,0% 30% 80% 0%,0.089
binarytrees,gcc,1,16,706,1.604,9492,0,100% 1% 2% 1%,1.609
binarytrees,gcc,1,20,706,37.680,132384,0,1% 100% 0% 1%,37.710
binarytrees,racket,3,12,877,0.000,61496,-10,31% 60% 1% 0%,1.449
binarytrees,racket,3,16,877,0.000,61496,-10,31% 60% 1% 0%,1.449
binarytrees,racket,3,20,877,0.000,61496,-10,31% 60% 1% 0%,1.449
binarytrees,dart,1,12,503,0.200,5372,0,12% 21% 50% 33%,0.562
binarytrees,dart,1,16,503,1.028,99292,0,6% 3% 92% 7%,1.001
binarytrees,dart,1,20,503,33.224,335732,0,77% 11% 2% 21%,30.547
binarytrees,php,2,12,472,0.320,1248,0,6% 100% 0% 0%,0.325
binarytrees,php,2,16,472,8.740,35016,0,100% 1% 0% 1%,8.749
binarytrees,php,2,20,472,224.184,440500,0,1% 100% 0% 1%,224.371
binarytrees,fsharp,2,12,515,0.680,45896,0,75% 1% 0% 25%,1.454
binarytrees,fsharp,2,16,515,2.460,78536,0,2% 100% 1% 3%,2.398
binarytrees,fsharp,2,20,515,72.960,282172,0,22% 27% 54% 5%,68.994
binarytrees,scala,5,12,688,4.036,71500,0,69% 82% 71% 74%,1.399
binarytrees,scala,5,16,688,27.532,384436,0,73% 72% 72% 75%,9.597
binarytrees,scala,5,20,688,393.240,482360,0,72% 71% 70% 72%,140.657
binarytrees,hack,3,12,480,0.000,0,-11,%,0.000
binarytrees,hack,3,16,480,0.000,0,-11,%,0.000
binarytrees,hack,3,20,480,0.000,0,-11,%,0.000
binarytrees,vw,1,12,722,0.252,47596,0,16% 3% 0% 81%,1.539
binarytrees,vw,1,16,722,2.520,153860,0,1% 100% 0% 1%,2.525
binarytrees,vw,1,20,722,82.748,330808,0,100% 0% 1% 0%,82.842
binarytrees,lua,2,12,446,0.676,6448,0,1% 69% 1% 32%,0.757
binarytrees,lua,2,16,446,19.392,108480,0,30% 43% 28% 12%,19.420
binarytrees,lua,2,20,446,421.544,1724000,0,42% 21% 4% 34%,422.031
binarytrees,erlang,2,12,499,0.376,816,0,43% 26% 41% 61%,0.227
binarytrees,erlang,2,16,499,4.820,95784,0,76% 72% 89% 89%,1.496
binarytrees,erlang,2,20,499,114.828,1155600,0,98% 94% 90% 88%,31.148
binarytrees,gpp,2,12,553,0.076,0,0,0% 0% 100% 0%,0.078
binarytrees,gpp,2,16,553,1.716,15248,0,2% 0% 0% 100%,1.722
binarytrees,gpp,2,20,553,37.860,199588,0,26% 0% 1% 74%,37.891
binarytrees,go,4,12,688,0.256,0,0,70% 75% 56% 63%,0.090
binarytrees,go,4,16,688,9.964,26884,0,75% 75% 73% 73%,3.367
binarytrees,go,4,20,688,210.140,324420,0,88% 88% 88% 88%,60.102
binarytrees,jruby,3,12,439,7.428,171048,0,35% 50% 38% 43%,6.479
binarytrees,jruby,3,16,439,11.684,667764,0,43% 34% 37% 73%,6.678
binarytrees,jruby,3,20,439,149.952,1191052,0,33% 43% 43% 36%,98.498
binarytrees,go,9,12,548,0.240,0,0,29% 53% 19% 53%,0.161
binarytrees,go,9,16,548,9.684,21460,0,53% 51% 50% 52%,4.785
binarytrees,go,9,20,548,172.432,279880,0,49% 45% 47% 47%,93.382
binarytrees,swift,1,12,506,0.192,0,0,0% 0% 0% 100%,0.197
binarytrees,swift,1,16,506,4.384,18232,0,1% 100% 1% 1%,4.390
binarytrees,swift,1,20,506,98.780,202572,0,0% 31% 70% 0%,98.862
binarytrees,go,7,12,567,0.244,0,0,41% 68% 7% 29%,0.168
binarytrees,go,7,16,567,10.224,19712,0,50% 52% 51% 55%,4.964
binarytrees,go,7,20,567,180.316,277520,0,53% 45% 49% 44%,96.016
binarytrees,ifc,1,12,826,0.148,0,0,0% 20% 93% 65%,0.152
binarytrees,ifc,1,16,826,3.584,11144,0,1% 1% 100% 3%,3.589
binarytrees,ifc,1,20,826,68.136,134076,0,1% 100% 0% 0%,68.174
binarytrees,jruby,5,12,1123,8.028,185496,0,69% 91% 67% 66%,2.770
binarytrees,jruby,5,16,1123,18.284,669752,0,85% 76% 93% 78%,5.565
binarytrees,jruby,5,20,1123,895.156,1213984,0,96% 95% 96% 95%,234.856
binarytrees,csharp,1,12,654,0.164,0,0,94% 0% 6% 0%,0.168
binarytrees,csharp,1,16,654,0.708,52588,0,4% 1% 99% 4%,0.695
binarytrees,csharp,1,20,654,26.212,163812,0,7% 0% 100% 1%,24.593
binarytrees,clojure,1,12,657,2.440,79508,0,96% 46% 33% 21%,1.260
binarytrees,clojure,1,16,657,3.368,206400,0,54% 24% 43% 49%,2.013
binarytrees,clojure,1,20,657,28.280,605464,0,48% 28% 26% 54%,18.527
binarytrees,ghc,4,12,612,0.068,0,0,100% 100% 67% 67%,0.025
binarytrees,ghc,4,16,612,2.884,47612,0,86% 96% 83% 87%,0.830
binarytrees,ghc,4,20,612,63.764,800820,0,74% 87% 87% 74%,19.975
binarytrees,gpp,1,12,796,0.068,0,0,50% 33% 67% 33%,0.037
binarytrees,gpp,1,16,796,2.000,19272,0,84% 90% 86% 84%,0.598
binarytrees,gpp,1,20,796,54.908,2894364,0,97% 97% 97% 98%,14.212
binarytrees,perl,1,12,448,1.240,5944,0,8% 3% 0% 92%,1.599
binarytrees,perl,1,16,448,29.944,37788,0,1% 0% 100% 1%,29.963
binarytrees,perl,1,20,448,642.956,548364,0,62% 20% 9% 14%,643.464
binarytrees,ocaml,2,12,784,0.052,0,0,67% 67% 33% 33%,0.028
binarytrees,ocaml,2,16,784,2.200,76276,0,35% 94% 30% 48%,1.098
binarytrees,ocaml,2,20,784,70.780,204308,0,72% 96% 38% 85%,24.558
binarytrees,v8,1,12,467,0.072,5988,0,85% 0% 18% 0%,0.601
binarytrees,v8,1,16,467,1.308,53528,0,2% 54% 48% 0%,1.308
binarytrees,v8,1,20,467,49.312,937612,0,59% 21% 1% 22%,48.918
binarytrees,gnat,5,12,2167,0.036,0,0,33% 33% 50% 67%,0.029
binarytrees,gnat,5,16,2167,0.764,1128,0,89% 78% 52% 56%,0.290
binarytrees,gnat,5,20,2167,17.668,177912,0,80% 90% 72% 92%,5.370
binarytrees,jruby,1,12,412,7.600,178388,0,50% 48% 39% 57%,6.402
binarytrees,jruby,1,16,412,11.592,659684,0,59% 32% 40% 52%,6.463
binarytrees,jruby,1,20,412,367.112,1186744,0,72% 52% 54% 62%,154.385
binarytrees,hack,1,12,506,0.000,0,-11,%,0.000
binarytrees,hack,1,16,506,0.000,0,-11,%,0.000
binarytrees,hack,1,20,506,0.000,0,-11,%,0.000
binarytrees,yarv,5,12,1123,0.432,720,0,38% 95% 38% 41%,0.213
binarytrees,yarv,5,16,1123,7.836,91844,0,99% 86% 47% 86%,2.473
binarytrees,yarv,5,20,1123,168.332,243912,0,96% 65% 68% 64%,57.975
binarytrees,yarv,3,12,439,0.488,9136,0,100% 0% 2% 0%,0.493
binarytrees,yarv,3,16,439,10.024,31668,0,1% 1% 100% 0%,10.035
binarytrees,yarv,3,20,439,207.532,575052,0,48% 5% 40% 10%,207.755
binarytrees,swift,5,12,947,0.040,0,0,67% 0% 50% 33%,0.027
binarytrees,swift,5,16,947,0.684,1584,0,71% 88% 73% 82%,0.222
binarytrees,swift,5,20,947,15.248,240420,0,93% 84% 93% 98%,4.157
binarytrees,sbcl,2,12,649,0.052,0,0,100% 17% 33% 0%,0.054
binarytrees,sbcl,2,16,649,0.996,77168,0,100% 0% 1% 1%,1.002
binarytrees,sbcl,2,20,649,24.744,306652,0,99% 1% 1% 0%,24.785
binarytrees,java,2,12,603,0.216,0,0,18% 12% 94% 7%,0.167
binarytrees,java,2,16,603,0.976,105312,0,76% 9% 29% 13%,0.788
binarytrees,java,2,20,603,18.608,519948,0,38% 24% 17% 62%,13.326
binarytrees,gcc,3,12,906,0.028,0,0,100% 100% 50% 0%,0.014
binarytrees,gcc,3,16,906,0.448,0,0,80% 71% 86% 93%,0.145
binarytrees,gcc,3,20,906,10.148,156848,0,85% 62% 78% 92%,3.241
binarytrees,swift,4,12,711,0.040,0,0,67% 0% 0% 33%,0.057
binarytrees,swift,4,16,711,0.596,15684,0,2% 100% 0% 2%,0.601
binarytrees,swift,4,20,711,12.724,155220,0,1% 0% 0% 100%,12.735
binarytrees,yarv,1,12,412,0.520,9252,0,21% 29% 6% 49%,0.882
binarytrees,yarv,1,16,412,10.132,30192,0,1% 100% 1% 1%,10.146
binarytrees,yarv,1,20,412,200.648,432092,0,59% 0% 0% 42%,200.833
binarytrees,fsharp,3,12,565,0.232,1164,0,92% 8% 0% 8%,0.249
binarytrees,fsharp,3,16,565,1.816,72104,0,1% 2% 99% 4%,1.753
binarytrees,fsharp,3,20,565,53.192,229696,0,1% 17% 83% 7%,50.177
binarytrees,racket,2,12,640,0.264,14652,0,2% 2% 88% 16%,0.941
binarytrees,racket,2,16,640,1.356,59704,0,100% 1% 1% 1%,1.361
binarytrees,racket,2,20,640,36.480,480712,0,0% 100% 1% 1%,36.530
binarytrees,typescript,2,12,470,0.224,976,0,10% 86% 7% 3%,0.299
binarytrees,typescript,2,16,470,2.236,64760,0,1% 2% 100% 2%,2.237
binarytrees,typescript,2,20,470,80.620,955212,0,100% 1% 1% 0%,80.286
binarytrees,rust,1,12,791,0.044,0,0,0% 100% 50% 0%,0.022
binarytrees,rust,1,16,791,0.716,1688,0,83% 79% 82% 75%,0.230
binarytrees,rust,1,20,791,16.152,121684,0,95% 95% 95% 93%,4.292
binarytrees,hipe,1,12,441,0.240,852,0,41% 9% 50% 20%,0.229
binarytrees,hipe,1,16,441,1.868,97948,0,57% 7% 1% 38%,1.862
binarytrees,hipe,1,20,441,38.712,1038048,0,4% 22% 75% 1%,38.761
binarytrees,ifc,2,12,1199,0.064,0,0,50% 67% 100% 100%,0.022
binarytrees,ifc,2,16,1199,1.032,1212,0,93% 96% 97% 90%,0.286
binarytrees,ifc,2,20,1199,19.180,185084,0,100% 70% 76% 72%,6.076
binarytrees,racket,1,12,495,0.208,1328,0,95% 5% 0% 5%,0.215
binarytrees,racket,1,16,495,1.572,76256,0,100% 2% 1% 1%,1.576
binarytrees,racket,1,20,495,45.660,551940,0,1% 1% 66% 34%,45.719
binarytrees,java,3,12,584,0.196,0,0,6% 13% 12% 89%,0.169
binarytrees,java,3,16,584,0.904,130464,0,11% 97% 9% 8%,0.740
binarytrees,java,3,20,584,18.732,517292,0,31% 57% 39% 17%,13.339
binarytrees,fsharp,1,12,537,0.232,1128,0,0% 96% 4% 0%,0.236
binarytrees,fsharp,1,16,537,0.872,54736,0,99% 6% 3% 3%,0.860
binarytrees,fsharp,1,20,537,26.796,163392,0,6% 29% 71% 2%,25.247
binarytrees,go,1,12,516,0.240,0,0,25% 31% 65% 31%,0.162
binarytrees,go,1,16,516,9.884,20804,0,53% 50% 49% 52%,4.903
binarytrees,go,1,20,516,172.268,277364,0,49% 48% 46% 46%,92.634
