name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,php,3,12,483,1.121,8784,0,2% 2% 0% 100%,1.142
binarytrees,php,3,16,483,31.465,151404,0,1% 0% 1% 100%,31.498
binarytrees,php,3,20,483,0.000,2123804,-2,3% 1% 2% 100%,4.022
binarytrees,hack,2,12,468,0.516,110248,0,0% 4% 0% 98%,0.525
binarytrees,hack,2,16,468,5.276,148236,0,1% 1% 1% 100%,5.285
binarytrees,hack,2,20,468,107.584,459516,0,2% 8% 6% 100%,107.671
binarytrees,scala,4,12,494,0.272,2012,0,0% 7% 0% 100%,0.276
binarytrees,scala,4,16,494,0.960,114128,0,0% 3% 2% 100%,0.966
binarytrees,scala,4,20,494,17.468,518364,0,1% 0% 0% 100%,17.496
binarytrees,yarv,4,12,402,0.399,588,0,0% 0% 5% 98%,0.411
binarytrees,yarv,4,16,402,7.906,26620,0,0% 1% 1% 100%,7.920
binarytrees,yarv,4,20,402,165.207,240392,0,0% 1% 1% 100%,165.398
binarytrees,java,6,12,583,0.192,0,0,0% 0% 0% 100%,0.196
binarytrees,java,6,16,583,0.620,97408,0,2% 10% 0% 98%,0.626
binarytrees,java,6,20,583,7.376,414024,0,1% 1% 1% 100%,7.392
binarytrees,scala,2,12,641,0.000,1960,-2,0% 0% 0% 96%,0.261
binarytrees,scala,2,16,641,0.000,1960,-2,0% 0% 0% 96%,0.261
binarytrees,scala,2,20,641,0.000,1960,-2,0% 0% 0% 96%,0.261
binarytrees,yarv,2,12,413,0.489,7180,0,0% 0% 0% 100%,0.531
binarytrees,yarv,2,16,413,9.803,40244,0,1% 0% 1% 100%,9.814
binarytrees,yarv,2,20,413,207.574,387892,0,0% 1% 1% 100%,207.764
binarytrees,perl,3,12,706,0.000,0,-2,0% 0% 0% 80%,0.035
binarytrees,perl,3,16,706,0.000,0,-2,0% 0% 0% 80%,0.035
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 0% 80%,0.035
binarytrees,hipe,2,12,499,0.204,812,0,9% 9% 12% 100%,0.328
binarytrees,hipe,2,16,499,1.980,72376,0,1% 1% 1% 100%,1.992
binarytrees,hipe,2,20,499,50.444,512984,0,1% 1% 0% 100%,50.522
binarytrees,go,6,12,752,0.020,0,0,0% 0% 0% 100%,0.026
binarytrees,go,6,16,752,0.744,22656,0,0% 3% 0% 100%,0.757
binarytrees,go,6,20,752,17.292,221460,0,0% 0% 1% 100%,17.355
binarytrees,go,3,12,830,0.000,0,-10,0% 0% 17% 100%,0.046
binarytrees,go,3,16,830,0.000,0,-10,0% 0% 17% 100%,0.046
binarytrees,go,3,20,830,0.000,0,-10,0% 0% 17% 100%,0.046
binarytrees,csharp,3,12,723,0.204,1152,0,4% 4% 0% 80%,0.260
binarytrees,csharp,3,16,723,2.604,78176,0,2% 0% 1% 98%,2.656
binarytrees,csharp,3,20,723,0.000,135380,-2,0% 1% 1% 100%,11.589
binarytrees,sbcl,1,12,612,0.064,0,0,14% 0% 0% 83%,0.066
binarytrees,sbcl,1,16,612,1.360,77160,0,1% 1% 1% 100%,1.365
binarytrees,sbcl,1,20,612,32.628,325084,0,1% 0% 1% 100%,32.678
binarytrees,fpascal,1,12,769,0.080,0,0,0% 0% 0% 100%,0.082
binarytrees,fpascal,1,16,769,1.739,5108,0,2% 1% 1% 100%,1.742
binarytrees,fpascal,1,20,769,41.606,131376,0,1% 1% 1% 100%,41.645
binarytrees,python3,1,12,596,0.908,59492,0,2% 0% 1% 91%,1.000
binarytrees,python3,1,16,596,20.672,105604,0,0% 1% 1% 100%,20.769
binarytrees,python3,1,20,596,475.384,850920,0,0% 1% 0% 100%,475.840
binarytrees,ghc,1,12,521,0.032,0,0,0% 0% 0% 100%,0.034
binarytrees,ghc,1,16,521,0.992,17556,0,3% 2% 0% 100%,0.999
binarytrees,ghc,1,20,521,24.060,313564,0,0% 1% 0% 100%,24.104
binarytrees,java,5,12,926,0.368,1748,0,3% 5% 0% 100%,0.371
binarytrees,java,5,16,926,0.860,102300,0,1% 1% 5% 99%,0.887
binarytrees,java,5,20,926,9.968,530224,0,0% 1% 1% 100%,9.985
binarytrees,sbcl,3,12,684,0.000,0,-10,%,0.000
binarytrees,sbcl,3,16,684,0.000,0,-10,%,0.000
binarytrees,sbcl,3,20,684,0.000,0,-10,%,0.000
binarytrees,gcc,1,12,706,0.072,0,0,0% 0% 0% 89%,0.075
binarytrees,gcc,1,16,706,1.572,9668,0,1% 1% 0% 100%,1.576
binarytrees,gcc,1,20,706,36.624,132456,0,1% 0% 1% 100%,36.653
binarytrees,racket,3,12,877,0.000,41044,-10,2% 3% 0% 100%,0.650
binarytrees,racket,3,16,877,0.000,41044,-10,2% 3% 0% 100%,0.650
binarytrees,racket,3,20,877,0.000,41044,-10,2% 3% 0% 100%,0.650
binarytrees,dart,1,12,503,0.184,0,0,0% 0% 0% 100%,0.187
binarytrees,dart,1,16,503,1.020,98556,0,3% 0% 2% 100%,1.024
binarytrees,dart,1,20,503,32.272,322768,0,0% 0% 1% 100%,32.306
binarytrees,php,2,12,472,0.840,6568,0,2% 0% 3% 100%,0.842
binarytrees,php,2,16,472,23.816,67812,0,0% 1% 0% 100%,23.841
binarytrees,php,2,20,472,611.486,1021788,0,1% 1% 0% 100%,612.268
binarytrees,fsharp,2,12,515,0.664,45984,0,0% 1% 1% 100%,0.667
binarytrees,fsharp,2,16,515,2.412,75972,0,1% 0% 0% 100%,2.421
binarytrees,fsharp,2,20,515,70.472,281572,0,0% 1% 1% 100%,70.581
binarytrees,scala,5,12,688,4.708,85072,0,1% 0% 1% 100%,4.716
binarytrees,scala,5,16,688,54.280,317836,0,1% 3% 1% 100%,54.305
binarytrees,scala,5,20,688,243.644,494144,0,1% 1% 1% 100%,243.810
binarytrees,hack,3,12,480,0.360,1680,0,0% 0% 3% 100%,0.368
binarytrees,hack,3,16,480,1.860,143840,0,2% 0% 0% 100%,1.868
binarytrees,hack,3,20,480,34.904,397428,0,0% 0% 1% 100%,34.941
binarytrees,vw,1,12,722,0.224,1176,0,14% 4% 0% 88%,0.265
binarytrees,vw,1,16,722,2.564,147616,0,1% 1% 0% 100%,2.569
binarytrees,vw,1,20,722,81.336,330788,0,1% 1% 0% 100%,81.426
binarytrees,lua,2,12,446,0.678,5228,0,74% 51% 43% 96%,0.937
binarytrees,lua,2,16,446,18.955,109508,0,2% 4% 3% 100%,18.980
binarytrees,lua,2,20,446,417.222,1672244,0,0% 1% 1% 100%,417.901
binarytrees,gpp,2,12,553,0.072,0,0,0% 0% 0% 100%,0.076
binarytrees,gpp,2,16,553,1.720,14948,0,1% 3% 0% 100%,1.723
binarytrees,gpp,2,20,553,37.944,199212,0,1% 1% 0% 100%,37.976
binarytrees,go,4,12,688,0.212,1076,0,0% 0% 5% 100%,0.217
binarytrees,go,4,16,688,8.676,25824,0,1% 3% 6% 99%,8.756
binarytrees,go,4,20,688,183.052,328844,0,0% 1% 1% 100%,183.231
binarytrees,jruby,3,12,439,6.478,232760,0,1% 1% 0% 100%,6.492
